step,train_loss,probe_loss,curve_loss,lr,lr_multiplier,schedule,width,seed,base_lr
136,0.6540611982345581,,0.6540611982345581,0.0006312966753728795,0.6312966753728795,cosine,256,10,0.001
137,0.3090246915817261,,0.3090246915817261,0.0006265626851424847,0.6265626851424847,cosine,256,10,0.001
138,0.4969688951969147,,0.4969688951969147,0.0006218199527650207,0.6218199527650207,cosine,256,10,0.001
139,0.5696825981140137,,0.5696825981140137,0.0006170690197792785,0.6170690197792785,cosine,256,10,0.001
140,0.5062147974967957,0.9391468577086926,0.9391468577086926,0.0006123104286604183,0.6123104286604183,cosine,256,10,0.001
141,0.587925910949707,,0.587925910949707,0.0006075447227580277,0.6075447227580277,cosine,256,10,0.001
142,0.4426709711551666,,0.4426709711551666,0.0006027724462340809,0.6027724462340809,cosine,256,10,0.001
143,0.5048114657402039,,0.5048114657402039,0.0005979941440008041,0.5979941440008041,cosine,256,10,0.001
144,0.3215540945529938,,0.3215540945529938,0.0005932103616584568,0.5932103616584568,cosine,256,10,0.001
145,0.5057159662246704,,0.5057159662246704,0.0005884216454330329,0.5884216454330329,cosine,256,10,0.001
146,0.565040111541748,,0.565040111541748,0.000583628542113891,0.5836285421138909,cosine,256,10,0.001
147,0.46467065811157227,,0.46467065811157227,0.0005788315989913209,0.5788315989913209,cosine,256,10,0.001
148,0.33085882663726807,,0.33085882663726807,0.0005740313637940521,0.5740313637940521,cosine,256,10,0.001
149,0.6195184588432312,,0.6195184588432312,0.0005692283846267126,0.5692283846267125,cosine,256,10,0.001
150,0.634472131729126,0.7331169210374355,0.7331169210374355,0.0005644232099072449,0.5644232099072449,cosine,256,10,0.001
151,0.4753991365432739,,0.4753991365432739,0.0005596163883042857,0.5596163883042857,cosine,256,10,0.001
152,0.4453590512275696,,0.4453590512275696,0.0005548084686745181,0.554808468674518,cosine,256,10,0.001
153,0.5880982875823975,,0.5880982875823975,0.00055,0.55,cosine,256,10,0.001
154,0.4977598786354065,,0.4977598786354065,0.0005451915313254822,0.5451915313254821,cosine,256,10,0.001
155,0.3784545063972473,,0.3784545063972473,0.0005403836116957143,0.5403836116957144,cosine,256,10,0.001
156,0.4727274179458618,,0.4727274179458618,0.0005355767900927552,0.5355767900927552,cosine,256,10,0.001
157,0.6179815530776978,,0.6179815530776978,0.0005307716153732876,0.5307716153732875,cosine,256,10,0.001
158,0.32910916209220886,,0.32910916209220886,0.0005259686362059481,0.525968636205948,cosine,256,10,0.001
159,0.26161617040634155,,0.26161617040634155,0.0005211684010086792,0.5211684010086792,cosine,256,10,0.001
160,0.6049998998641968,0.6780670844018459,0.6780670844018459,0.0005163714578861091,0.516371457886109,cosine,256,10,0.001
161,0.6073954701423645,,0.6073954701423645,0.0005115783545669671,0.5115783545669671,cosine,256,10,0.001
